athlete_full_name,games_participations,first_game,athlete_year_birth,athlete_medals,athletes_age
Henrik KRISTOFFERSEN,3,Sochi 2014,1994.0,"


1

S



1

B

",29
Daniel YULE,3,Sochi 2014,1993.0,"


1

G

",30
Johannes STROLZ,1,Beijing 2022,1992.0,"


2

G



1

S

",31
Marco SCHWARZ,2,PyeongChang 2018,1995.0,"


1

S

",28
Alexis PINTURAULT,3,Sochi 2014,1991.0,"


1

S



2

B

",32
Ramon ZENHAEUSERN,3,Sochi 2014,1992.0,"


1

G



1

S

",31
Zan KRANJEC,3,Sochi 2014,1992.0,"


1

S

",31
Ryan COCHRAN-SIEGLE,2,PyeongChang 2018,1992.0,"


1

S

",31
Beat FEUZ,3,Sochi 2014,1987.0,"


1

G



1

S



1

B

",36
Christof INNERHOFER,4,Vancouver 2010,1984.0,"


1

S



1

B

",39
Aleksander Aamodt KILDE,3,Sochi 2014,1992.0,"


1

S



1

B

",31
Matthias MAYER,3,Sochi 2014,1990.0,"


3

G



1

B

",33
James CRAWFORD,2,Berlin 1936,1997.0,"


1

B

",26
Marco ODERMATT,1,Beijing 2022,1997.0,"


1

G

",26
Johan CLAREY,4,Vancouver 2010,1981.0,"


1

S

",42
Kjetil JANSRUD,5,Turin 2006,1985.0,"


1

G



2

S



2

B

",38
Corinne SUTER,2,PyeongChang 2018,1994.0,"


1

G

",29
Lara GUT - BEHRAMI,3,Sochi 2014,1991.0,"


1

G



2

B

",32
Mirjam PUCHNER,1,Beijing 2022,1992.0,"


1

S

",31
Michelle GISIN,3,Sochi 2014,1993.0,"


2

G



1

B

",30
Federica BRIGNONE,4,Vancouver 2010,1990.0,"


1

S



2

B

",33
Ragnhild MOWINCKEL,3,Sochi 2014,1992.0,"


2

S

",31
Mikaela SHIFFRIN,3,Sochi 2014,1995.0,"


2

G



1

S

",28
Rasmus WINDINGSTAD,1,Beijing 2022,1993.0,"


1

B

",30
Nadia DELAGO,1,Beijing 2022,1997.0,"


1

B

",26
Sofia GOGGIA,2,PyeongChang 2018,1992.0,"


1

G



1

S

",31
Stefan BRENNSTEINER,2,PyeongChang 2018,1991.0,"


1

G

",32
Mathieu FAIVRE,3,Sochi 2014,1992.0,"


1

B

",31
Thea Louise STJERNESUND,2,Rio 2016,1996.0,"


1

B

",27
Mina Fuerst HOLTMANN,1,Beijing 2022,1995.0,"


1

B

",28
Petra VLHOVA,3,Sochi 2014,1995.0,"


1

G

",28
Emma AICHER,1,Beijing 2022,2003.0,"


1

S

",20
Katharina TRUPPE,1,Beijing 2022,1996.0,"


1

G

",27
Wendy HOLDENER,3,Sochi 2014,1993.0,"


1

G



2

S



2

B

",30
Sara HECTOR,3,Sochi 2014,1992.0,"


1

G

",31
Maria Therese TVIBERG,1,Beijing 2022,1994.0,"


1

B

",29
Katharina LIENSBERGER,2,PyeongChang 2018,1997.0,"


1

G



2

S

",26
Katharina HUBER,1,Beijing 2022,1995.0,"


1

G

",28
Katharina GALLHUBER,2,PyeongChang 2018,1997.0,"


1

S



1

B

",26
Lena DUERR,2,PyeongChang 2018,1991.0,"


1

S

",32
Elena NIKITINA,2,Sochi 2014,1992.0,"


1

B

",31
Kimberley BOS,2,PyeongChang 2018,1993.0,"


1

B

",30
Laura DEAS,2,PyeongChang 2018,1988.0,"


1

B

",35
Hannah NEISE,1,Beijing 2022,2000.0,"


1

G

",23
Jackie NARRACOTT,2,PyeongChang 2018,1990.0,"


1

S

",33
Jacqueline LOELLING,2,PyeongChang 2018,1995.0,"


1

S

",28
Wengang YAN,1,Beijing 2022,1997.0,"


1

B

",26
Sungbin YUN,3,Sochi 2014,1994.0,"


1

G

",29
Christopher GROTHEER,2,PyeongChang 2018,1992.0,"


1

G

",31
Martins DUKURS,5,Turin 2006,1984.0,"


2

S

",39
Axel JUNGK,2,PyeongChang 2018,1991.0,"


1

S

",32
Yulia STUPAK,2,PyeongChang 2018,1995.0,"


1

G



3

B

",28
Maja DAHLQVIST,1,Beijing 2022,1994.0,"


2

S



1

B

",29
Maiken Caspersen FALLA,4,Vancouver 2010,1990.0,"


1

G



1

S



1

B

",33
Jessica DIGGINS,3,Sochi 2014,1991.0,"


1

G



1

S



1

B

",32
Natalia NEPRYAEVA,1,Beijing 2022,1995.0,"


1

S



1

B

",28
Sofie KREHL,1,Beijing 2022,1995.0,"


1

S

",28
Jonna SUNDLING,1,Beijing 2022,1994.0,"


1

G



1

S



1

B

",29
Victoria CARL,2,PyeongChang 2018,1995.0,"


1

G



1

S

",28
Iivo NISKANEN,3,Sochi 2014,1992.0,"


3

G



1

S



1

B

",31
Paal GOLBERG,3,Sochi 2014,1990.0,"


1

S

",33
Alexey CHERVOTKIN,2,PyeongChang 2018,1995.0,"


1

G



1

S

",28
Hans Christer HOLUND,2,PyeongChang 2018,1989.0,"


1

S



1

B

",34
Clement PARISSE,2,PyeongChang 2018,1993.0,"


2

B

",30
Johannes Hoesflot KLAEBO,2,PyeongChang 2018,1996.0,"


5

G



1

S



1

B

",27
Maurice MANIFICAT,4,Vancouver 2010,1986.0,"


4

B

",37
Hugo LAPALUS,1,Beijing 2022,1998.0,"


1

B

",25
Denis SPITSOV,2,PyeongChang 2018,1996.0,"


1

G



3

S



1

B

",27
Alexander BOLSHUNOV,2,Rio 2016,1996.0,"


3

G



1

S



1

B

",27
Therese JOHAUG,3,Vancouver 2010,1988.0,"


4

G



1

S



1

B

",35
Kerttu NISKANEN,3,Sochi 2014,1988.0,"


3

S



1

B

",35
Ebba ANDERSSON,2,PyeongChang 2018,1997.0,"


1

S



1

B

",26
Ragnhild HAGA,2,PyeongChang 2018,1991.0,"


2

G

",32
Katharina HENNIG,2,PyeongChang 2018,1996.0,"


1

G



1

S

",27
Krista PARMAKOSKI,4,Vancouver 2010,1990.0,"


2

S



3

B

",33
Anne KYLLOENEN,2,Sochi 2014,1987.0,"


1

S

",36
Katherine SAUERBREY,1,Beijing 2022,1997.0,"


1

S

",26
Teresa STADLOBER,3,Sochi 2014,1993.0,"


1

B

",30
Frida KARLSSON,1,Beijing 2022,1999.0,"


1

B

",24
Charlotte KALLA,4,Vancouver 2010,1987.0,"


3

G



6

S

",36
Dario COLOGNA,4,Vancouver 2010,1986.0,"


4

G

",37
Simen Hegstad KRUEGER,2,PyeongChang 2018,1993.0,"


2

G



1

S



1

B

",30
Adrien BACKSCHEIDER,3,Sochi 2014,1992.0,"


1

B

",31
Ivan YAKIMUSHKIN,1,Beijing 2022,1996.0,"


1

S

",27
Richard JOUVE,2,PyeongChang 2018,1994.0,"


2

B

",29
Erik VALNES,1,Beijing 2022,1996.0,"


1

G

",27
Joni MAEKI,1,Beijing 2022,1995.0,"


1

S

",28
Sergey USTIUGOV,2,Sochi 2014,1992.0,"


1

G

",31
Federico PELLEGRINO,3,Sochi 2014,1990.0,"


2

S

",33
Alexander TERENTEV,1,Beijing 2022,1999.0,"


2

B

",24
Ruslan ZAKHAROV,3,Vancouver 2010,1987.0,"


1

G



1

S

",36
Kjeld NUIS,2,PyeongChang 2018,1989.0,"


3

G

",34
Emery LEHMAN,3,Sochi 2014,1996.0,"


1

B

",27
Bart SWINGS,3,Sochi 2014,1991.0,"


1

G



1

S

",32
Peder KONGSHAUG,1,Beijing 2022,2001.0,"


1

G

",22
Min Seok KIM,2,PyeongChang 2018,1999.0,"


1

S



2

B

",24
Thomas KROL,1,Beijing 2022,1992.0,"


1

G



1

S

",31
Casey DAWSON,1,Beijing 2022,2000.0,"


1

B

",23
Daniil ALDOSHKIN,1,Beijing 2022,2001.0,"


1

S

",22
Sergey TROFIMOV,2,PyeongChang 2018,1995.0,"


1

S

",28
Joey MANTIA,3,Sochi 2014,1986.0,"


1

B

",37
Antoinette DE JONG,3,Sochi 2014,1995.0,"


1

S



2

B

",28
Brittany BOWE,3,Sochi 2014,1988.0,"


2

B

",35
Miho TAKAGI,3,Vancouver 2010,1994.0,"


2

G



4

S



1

B

",29
Nao KODAIRA,4,Vancouver 2010,1986.0,"


1

G



2

S

",37
Ireen WÜST,5,Turin 2006,1986.0,"


6

G



5

S



2

B

",37
Olga FATKULINA,3,Vancouver 2010,1990.0,"


1

S

",33
Angelina GOLIKOVA,3,Sochi 2014,1991.0,"


1

B

",32
Jutta LEERDAM,1,Beijing 2022,1998.0,"


1

S

",25
Min Kyu CHA,2,PyeongChang 2018,1993.0,"


2

S

",30
Havard LORENTZEN,3,Sochi 2014,1992.0,"


1

G



1

S



1

B

",31
Laurent DUBREUIL,2,PyeongChang 2018,1992.0,"


1

S

",31
Wataru MORISHIGE,1,Beijing 2022,2000.0,"


1

B

",23
